answer,document_id,offsets_in_document,context,type,gold_answers,gold_offsets_in_documents,gold_document_ids,exact_match,f1,rank,node,query,node_input
50 years,86b6adea4b99d7e62c865b8c75353e3a-1,"[{'start': 842, 'end': 850}]",k accounts. Entry to the scheme will not be possible beyond the age of 50 years. The eligible candidates can join the scheme before giving any self de,answer,['18-70 years'],"[{'start': 470, 'end': 481}]",['d635e12585c3e386a02b4fb885fdc468-0'],0.0,0.5,2,Reader,Which age group citizen are eligible for PMSBY?,prediction
between the ages of 18 and 50 years,86b6adea4b99d7e62c865b8c75353e3a-0,"[{'start': 1049, 'end': 1084}]",for renewal every year. The scheme is available to people between the ages of 18 and 50 years with a savings bank account. The scheme asks for an annu,answer,['18-70 years'],"[{'start': 470, 'end': 481}]",['d635e12585c3e386a02b4fb885fdc468-0'],0.0,0.22222222222222224,3,Reader,Which age group citizen are eligible for PMSBY?,prediction
,,"[{'start': 0, 'end': 0}]",,answer,['18-70 years'],"[{'start': 470, 'end': 481}]",['d635e12585c3e386a02b4fb885fdc468-0'],0.0,0.0,4,Reader,Which age group citizen are eligible for PMSBY?,prediction
NRI’s can also join the scheme,d635e12585c3e386a02b4fb885fdc468-0,"[{'start': 751, 'end': 781}]","olders, all the holders will be allowed to join the scheme. NRI’s can also join the scheme; however, in the event of a claim arising, the beneficiary/",answer,['NRI’s can also join the scheme'],"[{'start': 751, 'end': 781}]",['d635e12585c3e386a02b4fb885fdc468-0'],1.0,1.0,1,Reader,Are NRI's eligible for PMSBY scheme?,prediction
,,"[{'start': 0, 'end': 0}]",,answer,['NRI’s can also join the scheme'],"[{'start': 751, 'end': 781}]",['d635e12585c3e386a02b4fb885fdc468-0'],0.0,0.0,2,Reader,Are NRI's eligible for PMSBY scheme?,prediction
this time period will be renewed every year,86b6adea4b99d7e62c865b8c75353e3a-0,"[{'start': 840, 'end': 883}]","period of one year, stretching from June 1 to May 31; this time period will be renewed every year.
Features of PMJJBY:
Pradhan Mantri Jeevan Jyoti Bim",answer,['NRI’s can also join the scheme'],"[{'start': 751, 'end': 781}]",['d635e12585c3e386a02b4fb885fdc468-0'],0.0,0.0,3,Reader,Are NRI's eligible for PMSBY scheme?,prediction
Entry to the scheme will not be possible beyond the age of 50 years,86b6adea4b99d7e62c865b8c75353e3a-1,"[{'start': 783, 'end': 850}]",nder the scheme from their bank accounts. Entry to the scheme will not be possible beyond the age of 50 years. The eligible candidates can join the sc,answer,['NRI’s can also join the scheme'],"[{'start': 751, 'end': 781}]",['d635e12585c3e386a02b4fb885fdc468-0'],0.0,0.11764705882352941,4,Reader,Are NRI's eligible for PMSBY scheme?,prediction
Rs.2 Lakh,86b6adea4b99d7e62c865b8c75353e3a-0,"[{'start': 741, 'end': 750}]"," under the scheme with zero balance. The scheme offers a life cover of Rs.2 Lakh to the insured member for the time period of one year, stretching fro",answer,['Rs.12'],"[{'start': 910, 'end': 915}]",['d635e12585c3e386a02b4fb885fdc468-0'],0.0,0.0,1,Reader,How much is the premium amount per annum per member for PMSBY scheme?,prediction
Rs.12,d635e12585c3e386a02b4fb885fdc468-0,"[{'start': 910, 'end': 915}]","ary/ nominee will be paid in Indian currency only.
The premium amount is Rs.12 per annum per member and will be auto-debited from the account of the h",answer,['Rs.12'],"[{'start': 910, 'end': 915}]",['d635e12585c3e386a02b4fb885fdc468-0'],1.0,1.0,2,Reader,How much is the premium amount per annum per member for PMSBY scheme?,prediction
,,"[{'start': 0, 'end': 0}]",,answer,['Rs.12'],"[{'start': 910, 'end': 915}]",['d635e12585c3e386a02b4fb885fdc468-0'],0.0,0.0,3,Reader,How much is the premium amount per annum per member for PMSBY scheme?,prediction
"3 years of the policy, insurance cover is immediately discontinued. For premiums not paid after 3 years",f9732dd2411b250f2227efc3f40af4ec-1,"[{'start': 1281, 'end': 1384}]","remium within the first 3 years of the policy, insurance cover is immediately discontinued. For premiums not paid after 3 years, the surrender value i",answer,['Rs.12'],"[{'start': 910, 'end': 915}]",['d635e12585c3e386a02b4fb885fdc468-0'],0.0,0.0,4,Reader,How much is the premium amount per annum per member for PMSBY scheme?,prediction
,,"[{'start': 0, 'end': 0}]",,answer,['on or before June 1st'],"[{'start': 1117, 'end': 1138}]",['d635e12585c3e386a02b4fb885fdc468-0'],0.0,0.0,1,Reader,When is the PMSBY premium amount automatically deducted from the account?,prediction
June 1st,d635e12585c3e386a02b4fb885fdc468-0,"[{'start': 1130, 'end': 1138}]","to participate in the scheme. The amount will be deducted on or before June 1st; if it is deducted after June 1st, then the cover shall commence on th",answer,['on or before June 1st'],"[{'start': 1117, 'end': 1138}]",['d635e12585c3e386a02b4fb885fdc468-0'],0.0,0.5714285714285715,2,Reader,When is the PMSBY premium amount automatically deducted from the account?,prediction
annual basis,86b6adea4b99d7e62c865b8c75353e3a-1,"[{'start': 1092, 'end': 1104}]", deducted automatically from the insured member’s bank account on an annual basis. It must be noted that the PMJJBY application form is available in s,answer,['on or before June 1st'],"[{'start': 1117, 'end': 1138}]",['d635e12585c3e386a02b4fb885fdc468-0'],0.0,0.0,3,Reader,When is the PMSBY premium amount automatically deducted from the account?,prediction
auto-debited,d635e12585c3e386a02b4fb885fdc468-0,"[{'start': 949, 'end': 961}]","y only.
The premium amount is Rs.12 per annum per member and will be auto-debited from the account of the holder. The premium is a nominal amount to e",answer,['on or before June 1st'],"[{'start': 1117, 'end': 1138}]",['d635e12585c3e386a02b4fb885fdc468-0'],0.0,0.0,4,Reader,When is the PMSBY premium amount automatically deducted from the account?,prediction
Rs. 2 lakh,d635e12585c3e386a02b4fb885fdc468-0,"[{'start': 1249, 'end': 1259}]",the cover shall commence on the date of auto-debit. The risk cover is Rs. 2 lakh for accidental death and permanent disability and Rs. 1 lakh for perm,answer,['Rs. 2 lakh'],"[{'start': 1249, 'end': 1259}]",['d635e12585c3e386a02b4fb885fdc468-0'],1.0,1.0,1,Reader,How much is thePMSBY risk cover for accidental death?,prediction
one-year,d635e12585c3e386a02b4fb885fdc468-0,"[{'start': 93, 'end': 101}]","Suraksha Bima Yojana or SPMSBY is a social security scheme that offers one-year accidental death and disability cover, that can be renewed yearly. PMS",answer,['Rs. 2 lakh'],"[{'start': 1249, 'end': 1259}]",['d635e12585c3e386a02b4fb885fdc468-0'],0.0,0.0,2,Reader,How much is thePMSBY risk cover for accidental death?,prediction
,,"[{'start': 0, 'end': 0}]",,answer,['Rs. 2 lakh'],"[{'start': 1249, 'end': 1259}]",['d635e12585c3e386a02b4fb885fdc468-0'],0.0,0.0,3,Reader,How much is thePMSBY risk cover for accidental death?,prediction
Rs.2 Lakh,86b6adea4b99d7e62c865b8c75353e3a-0,"[{'start': 741, 'end': 750}]"," under the scheme with zero balance. The scheme offers a life cover of Rs.2 Lakh to the insured member for the time period of one year, stretching fro",answer,['Rs. 2 lakh'],"[{'start': 1249, 'end': 1259}]",['d635e12585c3e386a02b4fb885fdc468-0'],0.0,0.4,4,Reader,How much is thePMSBY risk cover for accidental death?,prediction
Rs. 1 lakh,d635e12585c3e386a02b4fb885fdc468-0,"[{'start': 1310, 'end': 1320}]",cover is Rs. 2 lakh for accidental death and permanent disability and Rs. 1 lakh for permanent partial disability. Permanent disability is defined as ,answer,['Rs. 1 lakh'],"[{'start': 1310, 'end': 1320}]",['d635e12585c3e386a02b4fb885fdc468-0'],1.0,1.0,1,Reader,What is the permanent partial disability insurance sum in PMSBY scheme?,prediction
,,"[{'start': 0, 'end': 0}]",,answer,['Rs. 1 lakh'],"[{'start': 1310, 'end': 1320}]",['d635e12585c3e386a02b4fb885fdc468-0'],0.0,0.0,2,Reader,What is the permanent partial disability insurance sum in PMSBY scheme?,prediction
yearly,d635e12585c3e386a02b4fb885fdc468-0,"[{'start': 161, 'end': 167}]","ers one-year accidental death and disability cover, that can be renewed yearly. PMSBY is one of the three social security schemes that was announced i",answer,['Rs. 1 lakh'],"[{'start': 1310, 'end': 1320}]",['d635e12585c3e386a02b4fb885fdc468-0'],0.0,0.0,3,Reader,What is the permanent partial disability insurance sum in PMSBY scheme?,prediction
monthly,f9732dd2411b250f2227efc3f40af4ec-1,"[{'start': 266, 'end': 273}]",t being the cause of death. Term rider provides the policyholder with a monthly income to the policyholder’s beneficiary in the event of the policyhol,answer,['Rs. 1 lakh'],"[{'start': 1310, 'end': 1320}]",['d635e12585c3e386a02b4fb885fdc468-0'],0.0,0.0,4,Reader,What is the permanent partial disability insurance sum in PMSBY scheme?,prediction
total and irrecoverable loss of both eyes or loss of use of both or one hand or foot,d635e12585c3e386a02b4fb885fdc468-0,"[{'start': 1390, 'end': 1474}]","rmanent disability is defined as total and irrecoverable loss of both eyes or loss of use of both or one hand or foot.
Permanent partial disability is",answer,['total and irrecoverable loss of both eyes or loss of use of both or one hand or foot'],"[{'start': 1390, 'end': 1474}]",['d635e12585c3e386a02b4fb885fdc468-0'],1.0,1.0,1,Reader,What is Permanent disability termed as?,prediction
,,"[{'start': 0, 'end': 0}]",,answer,['total and irrecoverable loss of both eyes or loss of use of both or one hand or foot'],"[{'start': 1390, 'end': 1474}]",['d635e12585c3e386a02b4fb885fdc468-0'],0.0,0.0,2,Reader,What is Permanent disability termed as?,prediction
Benefit Rider,f9732dd2411b250f2227efc3f40af4ec-1,"[{'start': 117, 'end': 130}]","lness Rider, Term rider. In Accidental Death or Permanent Disability Benefit Rider provides the policyholder with cover in the event of an accident be",answer,['total and irrecoverable loss of both eyes or loss of use of both or one hand or foot'],"[{'start': 1390, 'end': 1474}]",['d635e12585c3e386a02b4fb885fdc468-0'],0.0,0.0,3,Reader,What is Permanent disability termed as?,prediction
accidental death,d635e12585c3e386a02b4fb885fdc468-0,"[{'start': 102, 'end': 118}]"," Yojana or SPMSBY is a social security scheme that offers one-year accidental death and disability cover, that can be renewed yearly. PMSBY is one of ",answer,['total and irrecoverable loss of both eyes or loss of use of both or one hand or foot'],"[{'start': 1390, 'end': 1474}]",['d635e12585c3e386a02b4fb885fdc468-0'],0.0,0.0,4,Reader,What is Permanent disability termed as?,prediction
,,"[{'start': 0, 'end': 0}]",,answer,['does not cover hospitalisation expenses'],"[{'start': 1698, 'end': 1737}]",['d635e12585c3e386a02b4fb885fdc468-0'],0.0,0.0,1,Reader,Does PMSBY scheme cover hospital expenses?,prediction
does not cover hospitalisation expenses,d635e12585c3e386a02b4fb885fdc468-0,"[{'start': 1698, 'end': 1737}]","oot. This is in addition to any insurance plan an individual has. Also, this is not a Mediclaim and hence does not cover hospitalisation expenses. The",answer,['does not cover hospitalisation expenses'],"[{'start': 1698, 'end': 1737}]",['d635e12585c3e386a02b4fb885fdc468-0'],1.0,1.0,2,Reader,Does PMSBY scheme cover hospital expenses?,prediction
In all other cases,d635e12585c3e386a02b4fb885fdc468-1,"[{'start': 1757, 'end': 1775}]","e incident like an accident, drowning, etc. the same must be reported to the police. In all other cases, the hospital record evidencing the event must",answer,['does not cover hospitalisation expenses'],"[{'start': 1698, 'end': 1737}]",['d635e12585c3e386a02b4fb885fdc468-0'],0.0,0.0,3,Reader,Does PMSBY scheme cover hospital expenses?,prediction
"The scheme offers a life cover of Rs.2 Lakh to the insured member for the time period of one year, stretching from June 1 to May 31; this time period will be renewed every year",86b6adea4b99d7e62c865b8c75353e3a-0,"[{'start': 707, 'end': 883}]","The scheme offers a life cover of Rs.2 Lakh to the insured member for the time period of one year, stretching from June 1 to May 31; this time period will be renewed every year",answer,['does not cover hospitalisation expenses'],"[{'start': 1698, 'end': 1737}]",['d635e12585c3e386a02b4fb885fdc468-0'],0.0,0.05555555555555555,4,Reader,Does PMSBY scheme cover hospital expenses?,prediction
"Accidents, Natural Calamities, Murder",d635e12585c3e386a02b4fb885fdc468-1,"[{'start': 56, 'end': 93}]"," causes leading to death or disability and coverage are Accidents, Natural Calamities, Murder. Suicide is not covered. The period of enrolment is star",answer,"['Accidents, Natural Calamities, Murder']","[{'start': 56, 'end': 93}]",['d635e12585c3e386a02b4fb885fdc468-1'],1.0,1.0,1,Reader,Which causes of death or disability are covered under PMSBY scheme?,prediction
accidental,d635e12585c3e386a02b4fb885fdc468-0,"[{'start': 102, 'end': 112}]","ima Yojana or SPMSBY is a social security scheme that offers one-year accidental death and disability cover, that can be renewed yearly. PMSBY is one ",answer,"['Accidents, Natural Calamities, Murder']","[{'start': 56, 'end': 93}]",['d635e12585c3e386a02b4fb885fdc468-1'],0.0,0.0,2,Reader,Which causes of death or disability are covered under PMSBY scheme?,prediction
accidental death and permanent disability,d635e12585c3e386a02b4fb885fdc468-0,"[{'start': 1264, 'end': 1305}]",e date of auto-debit. The risk cover is Rs. 2 lakh for accidental death and permanent disability and Rs. 1 lakh for permanent partial disability. Perm,answer,"['Accidents, Natural Calamities, Murder']","[{'start': 56, 'end': 93}]",['d635e12585c3e386a02b4fb885fdc468-1'],0.0,0.0,3,Reader,Which causes of death or disability are covered under PMSBY scheme?,prediction
,,"[{'start': 0, 'end': 0}]",,answer,"['Accidents, Natural Calamities, Murder']","[{'start': 56, 'end': 93}]",['d635e12585c3e386a02b4fb885fdc468-1'],0.0,0.0,4,Reader,Which causes of death or disability are covered under PMSBY scheme?,prediction
,,"[{'start': 0, 'end': 0}]",,answer,['Suicide is not covered'],"[{'start': 95, 'end': 117}]",['d635e12585c3e386a02b4fb885fdc468-1'],0.0,0.0,1,Reader,Is suicide a cause of death covered under PMSBY scheme?,prediction
Suicide is not covered,d635e12585c3e386a02b4fb885fdc468-1,"[{'start': 95, 'end': 117}]","ability and coverage are Accidents, Natural Calamities, Murder. Suicide is not covered. The period of enrolment is starting from June 1st to May 31st ",answer,['Suicide is not covered'],"[{'start': 95, 'end': 117}]",['d635e12585c3e386a02b4fb885fdc468-1'],1.0,1.0,2,Reader,Is suicide a cause of death covered under PMSBY scheme?,prediction
accidental death,d635e12585c3e386a02b4fb885fdc468-0,"[{'start': 102, 'end': 118}]"," Yojana or SPMSBY is a social security scheme that offers one-year accidental death and disability cover, that can be renewed yearly. PMSBY is one of ",answer,['Suicide is not covered'],"[{'start': 95, 'end': 117}]",['d635e12585c3e386a02b4fb885fdc468-1'],0.0,0.0,3,Reader,Is suicide a cause of death covered under PMSBY scheme?,prediction
an accident being the cause of death,f9732dd2411b250f2227efc3f40af4ec-1,"[{'start': 184, 'end': 220}]",der provides the policyholder with cover in the event of an accident being the cause of death. Term rider provides the policyholder with a monthly inc,answer,['Suicide is not covered'],"[{'start': 95, 'end': 117}]",['d635e12585c3e386a02b4fb885fdc468-1'],0.0,0.0,4,Reader,Is suicide a cause of death covered under PMSBY scheme?,prediction
,,"[{'start': 0, 'end': 0}]",,answer,['May 31 every year'],"[{'start': 293, 'end': 310}]",['d635e12585c3e386a02b4fb885fdc468-1'],0.0,0.0,1,Reader,When is the instruction of Auto debit given to bank in PMSBY scheme?,prediction
May 31 every year,d635e12585c3e386a02b4fb885fdc468-1,"[{'start': 293, 'end': 310}]","ear. The instruction for auto-debit has to be given to the bank by May 31 every year. It is a yearly scheme, and hence the individual must provide con",answer,['May 31 every year'],"[{'start': 293, 'end': 310}]",['d635e12585c3e386a02b4fb885fdc468-1'],1.0,1.0,2,Reader,When is the instruction of Auto debit given to bank in PMSBY scheme?,prediction
31 May,86b6adea4b99d7e62c865b8c75353e3a-1,"[{'start': 704, 'end': 710}]",in/enable auto-debit the premium amount in one installment on or before 31 May of each annual coverage paid under the scheme from their bank accounts.,answer,['May 31 every year'],"[{'start': 293, 'end': 310}]",['d635e12585c3e386a02b4fb885fdc468-1'],0.0,0.6666666666666666,3,Reader,When is the instruction of Auto debit given to bank in PMSBY scheme?,prediction
June 1st; if it is deducted after June 1st,d635e12585c3e386a02b4fb885fdc468-0,"[{'start': 1130, 'end': 1172}]"," the scheme. The amount will be deducted on or before June 1st; if it is deducted after June 1st, then the cover shall commence on the date of auto-de",answer,['May 31 every year'],"[{'start': 293, 'end': 310}]",['d635e12585c3e386a02b4fb885fdc468-1'],0.0,0.0,4,Reader,When is the instruction of Auto debit given to bank in PMSBY scheme?,prediction
,,"[{'start': 0, 'end': 0}]",,answer,['he Public Sector General Insurance Companies'],"[{'start': 474, 'end': 518}]",['d635e12585c3e386a02b4fb885fdc468-1'],0.0,0.0,1,Reader,Who administers the PMSBY scheme?,prediction
Public Sector General Insurance Companies,d635e12585c3e386a02b4fb885fdc468-1,"[{'start': 477, 'end': 518}]",t years. The scheme is offered and administered by the Public Sector General Insurance Companies (PSGICs) and other general insurance companies in col,answer,['he Public Sector General Insurance Companies'],"[{'start': 474, 'end': 518}]",['d635e12585c3e386a02b4fb885fdc468-1'],0.0,0.9090909090909091,2,Reader,Who administers the PMSBY scheme?,prediction
Mr. Arun Jaitley,86b6adea4b99d7e62c865b8c75353e3a-0,"[{'start': 103, 'end': 119}]","oti Bima Yojana or PMJBY was started by the then Finance Minister, Mr. Arun Jaitley in the annual financial budget of 2015. The scheme was actually la",answer,['he Public Sector General Insurance Companies'],"[{'start': 474, 'end': 518}]",['d635e12585c3e386a02b4fb885fdc468-1'],0.0,0.0,3,Reader,Who administers the PMSBY scheme?,prediction
Ministry of Finance,86b6adea4b99d7e62c865b8c75353e3a-1,"[{'start': 1543, 'end': 1562}]","unt of Premium to be Paid:
With effect from 1 September 2018, the Ministry of Finance revised the premium payment structure on a quarterly basis depen",answer,['he Public Sector General Insurance Companies'],"[{'start': 474, 'end': 518}]",['d635e12585c3e386a02b4fb885fdc468-1'],0.0,0.0,4,Reader,Who administers the PMSBY scheme?,prediction
,,"[{'start': 0, 'end': 0}]",,answer,['bank account of the individual'],"[{'start': 201, 'end': 231}]",['d635e12585c3e386a02b4fb885fdc468-2'],0.0,0.0,1,Reader,Where is the claim for an insured individual's disability credited into under PMSBY?,prediction
the bank account of the individual,d635e12585c3e386a02b4fb885fdc468-2,"[{'start': 197, 'end': 231}]"," no nominee. The claim for disability will be credited in the bank account of the individual. In case of death, it will be credited to the bank accoun",answer,['bank account of the individual'],"[{'start': 201, 'end': 231}]",['d635e12585c3e386a02b4fb885fdc468-2'],1.0,1.0,2,Reader,Where is the claim for an insured individual's disability credited into under PMSBY?,prediction
Indian currency,d635e12585c3e386a02b4fb885fdc468-0,"[{'start': 866, 'end': 881}]"," event of a claim arising, the beneficiary/ nominee will be paid in Indian currency only.
The premium amount is Rs.12 per annum per member and will be",answer,['bank account of the individual'],"[{'start': 201, 'end': 231}]",['d635e12585c3e386a02b4fb885fdc468-2'],0.0,0.0,3,Reader,Where is the claim for an insured individual's disability credited into under PMSBY?,prediction
Rs.2 Lakh,86b6adea4b99d7e62c865b8c75353e3a-0,"[{'start': 741, 'end': 750}]"," under the scheme with zero balance. The scheme offers a life cover of Rs.2 Lakh to the insured member for the time period of one year, stretching fro",answer,['bank account of the individual'],"[{'start': 201, 'end': 231}]",['d635e12585c3e386a02b4fb885fdc468-2'],0.0,0.0,4,Reader,Where is the claim for an insured individual's disability credited into under PMSBY?,prediction
Conservative,f9732dd2411b250f2227efc3f40af4ec-0,"[{'start': 1208, 'end': 1220}]",nt is invested in equity and the rest is invested in debt market. In Conservative ULIP: Here 20% of investment amount is put in equity and the rest is,answer,['financial instrument'],"[{'start': 16, 'end': 36}]",['f9732dd2411b250f2227efc3f40af4ec-0'],0.0,0.0,1,Reader,What type of investment instrument is ULIP?,prediction
,,"[{'start': 0, 'end': 0}]",,answer,['financial instrument'],"[{'start': 16, 'end': 36}]",['f9732dd2411b250f2227efc3f40af4ec-0'],0.0,0.0,2,Reader,What type of investment instrument is ULIP?,prediction
"Aggressive, Balanced, Conservative ULIP",f9732dd2411b250f2227efc3f40af4ec-0,"[{'start': 985, 'end': 1024}]","s of ULIPs:
On basis of investment ULIP is divided into Aggressive, Balanced, Conservative ULIP. In Aggressive ULIP 80-100% of investment amount is in",answer,['financial instrument'],"[{'start': 16, 'end': 36}]",['f9732dd2411b250f2227efc3f40af4ec-0'],0.0,0.0,3,Reader,What type of investment instrument is ULIP?,prediction
type II ULIP,f9732dd2411b250f2227efc3f40af4ec-2,"[{'start': 558, 'end': 570}]","ll ULIP plans provide a constant life cover, ULIP cover if it is not type II ULIP, is fund value or Rs 5 lakh ,whichever is high. In case you go for a",answer,['financial instrument'],"[{'start': 16, 'end': 36}]",['f9732dd2411b250f2227efc3f40af4ec-0'],0.0,0.0,4,Reader,What type of investment instrument is ULIP?,prediction
protection combined with freedom to choose your investment avenue,f9732dd2411b250f2227efc3f40af4ec-0,"[{'start': 271, 'end': 336}]",ds and mutual funds. The double benefit of protection combined with freedom to choose your investment avenue makes ULIPs a truly popular financial ins,answer,['insurance and the investment'],"[{'start': 76, 'end': 104}]",['f9732dd2411b250f2227efc3f40af4ec-0'],0.0,0.16666666666666666,1,Reader,What are the dual benefits of ULIP?,prediction
,,"[{'start': 0, 'end': 0}]",,answer,['insurance and the investment'],"[{'start': 76, 'end': 104}]",['f9732dd2411b250f2227efc3f40af4ec-0'],0.0,0.0,2,Reader,What are the dual benefits of ULIP?,prediction
bigger returns,f9732dd2411b250f2227efc3f40af4ec-0,"[{'start': 909, 'end': 923}]","vestment option due to the increased lock-in period which also reap bigger returns.
Types of ULIPs:
On basis of investment ULIP is divided into Aggres",answer,['insurance and the investment'],"[{'start': 76, 'end': 104}]",['f9732dd2411b250f2227efc3f40af4ec-0'],0.0,0.0,3,Reader,What are the dual benefits of ULIP?,prediction
switching of return rates on their investments and hence increasing the overall return,f9732dd2411b250f2227efc3f40af4ec-2,"[{'start': 234, 'end': 320}]", option is useful regarding the switching of return rates on their investments and hence increasing the overall return. It is required to carry on inv,answer,['insurance and the investment'],"[{'start': 76, 'end': 104}]",['f9732dd2411b250f2227efc3f40af4ec-0'],0.0,0.13333333333333333,4,Reader,What are the dual benefits of ULIP?,prediction
equity,f9732dd2411b250f2227efc3f40af4ec-0,"[{'start': 1089, 'end': 1095}]",ve ULIP. In Aggressive ULIP 80-100% of investment amount is invested in equity. In Balanced ULIP 40-60% of investment amount is invested in equity and,answer,"['stocks, bonds and mutual funds']","[{'start': 217, 'end': 247}]",['f9732dd2411b250f2227efc3f40af4ec-0'],0.0,0.0,1,Reader,Where does ULIP invests in?,prediction
,,"[{'start': 0, 'end': 0}]",,answer,"['stocks, bonds and mutual funds']","[{'start': 217, 'end': 247}]",['f9732dd2411b250f2227efc3f40af4ec-0'],0.0,0.0,2,Reader,Where does ULIP invests in?,prediction
debt market. In Conservative ULIP: Here 20% of investment amount is put in equity and the rest is invested in the debt market,f9732dd2411b250f2227efc3f40af4ec-0,"[{'start': 1192, 'end': 1317}]"," invested in debt market. In Conservative ULIP: Here 20% of investment amount is put in equity and the rest is invested in the debt market.
On basis o",answer,"['stocks, bonds and mutual funds']","[{'start': 217, 'end': 247}]",['f9732dd2411b250f2227efc3f40af4ec-0'],0.0,0.07692307692307693,3,Reader,Where does ULIP invests in?,prediction
mutual funds,f9732dd2411b250f2227efc3f40af4ec-1,"[{'start': 1731, 'end': 1743}]","render charge.
There is no option of switching funds when it comes to mutual funds. The only option that the investors are provided with is the option",answer,"['stocks, bonds and mutual funds']","[{'start': 217, 'end': 247}]",['f9732dd2411b250f2227efc3f40af4ec-0'],0.0,0.5714285714285715,4,Reader,Where does ULIP invests in?,prediction
,,"[{'start': 0, 'end': 0}]",,answer,['ULIP'],"[{'start': 6, 'end': 10}]",['f9732dd2411b250f2227efc3f40af4ec-0'],0.0,0.0,1,Reader,Which is a truly popular financial instrument for customers?,prediction
savings bank account,86b6adea4b99d7e62c865b8c75353e3a-0,"[{'start': 1092, 'end': 1112}]","s available to people between the ages of 18 and 50 years with a savings bank account. The scheme asks for an annual premium from the insured members,",answer,['ULIP'],"[{'start': 6, 'end': 10}]",['f9732dd2411b250f2227efc3f40af4ec-0'],0.0,0.0,2,Reader,Which is a truly popular financial instrument for customers?,prediction
ULIPs,f9732dd2411b250f2227efc3f40af4ec-0,"[{'start': 343, 'end': 348}]", protection combined with freedom to choose your investment avenue makes ULIPs a truly popular financial instrument among customers. With ULIPs being ,answer,['ULIP'],"[{'start': 6, 'end': 10}]",['f9732dd2411b250f2227efc3f40af4ec-0'],0.0,0.0,3,Reader,Which is a truly popular financial instrument for customers?,prediction
"Pradhan Mantri Jeevan Jyoti Bima Yojana or PMJBY was started by the then Finance Minister, Mr. Arun Jaitley in the annual financial budget of 2015. The scheme was actually launched by the Prime Minister, Mr. Narendra Modi in Kolkata considering the fact that as of the mentioned year (May 2015), only 20% of the country’s population had an insurance policy in their name. The main idea behind the scheme was to increase the number of health insured citizens in the country. Additionally, the bank accounts that were initially opened under the Pradhan Mantri Jan Dhan Yojana will be used for this scheme as well. This was done to reduce the number of accounts under the scheme with zero balance. The scheme offers a life cover of Rs.2 Lakh",86b6adea4b99d7e62c865b8c75353e3a-0,"[{'start': 12, 'end': 750}]","Pradhan Mantri Jeevan Jyoti Bima Yojana or PMJBY was started by the then Finance Minister, Mr. Arun Jaitley in the annual financial budget of 2015. The scheme was actually launched by the Prime Minister, Mr. Narendra Modi in Kolkata considering the fact that as of the mentioned year (May 2015), only 20% of the country’s population had an insurance policy in their name. The main idea behind the scheme was to increase the number of health insured citizens in the country. Additionally, the bank accounts that were initially opened under the Pradhan Mantri Jan Dhan Yojana will be used for this scheme as well. This was done to reduce the number of accounts under the scheme with zero balance. The scheme offers a life cover of Rs.2 Lakh",answer,['ULIP'],"[{'start': 6, 'end': 10}]",['f9732dd2411b250f2227efc3f40af4ec-0'],0.0,0.0,4,Reader,Which is a truly popular financial instrument for customers?,prediction
tax free maturity,f9732dd2411b250f2227efc3f40af4ec-0,"[{'start': 484, 'end': 501}]","ng life insurance products, they offer tax benefits in the form of tax free maturity. However this tax benefit depends on the type of ULIP invested, a",answer,['tax free maturity'],"[{'start': 484, 'end': 501}]",['f9732dd2411b250f2227efc3f40af4ec-0'],1.0,1.0,1,Reader,What is the tax benefit of ULIP?,prediction
,,"[{'start': 0, 'end': 0}]",,answer,['tax free maturity'],"[{'start': 484, 'end': 501}]",['f9732dd2411b250f2227efc3f40af4ec-0'],0.0,0.0,2,Reader,What is the tax benefit of ULIP?,prediction
death benefit,f9732dd2411b250f2227efc3f40af4ec-0,"[{'start': 1331, 'end': 1344}]","t in equity and the rest is invested in the debt market.
On basis of death benefit it is divided into Type I and Type II ULIP. In Type I ULIP the bene",answer,['tax free maturity'],"[{'start': 484, 'end': 501}]",['f9732dd2411b250f2227efc3f40af4ec-0'],0.0,0.0,3,Reader,What is the tax benefit of ULIP?,prediction
increasing the overall return,f9732dd2411b250f2227efc3f40af4ec-2,"[{'start': 291, 'end': 320}]",the switching of return rates on their investments and hence increasing the overall return. It is required to carry on investment for a certain period,answer,['tax free maturity'],"[{'start': 484, 'end': 501}]",['f9732dd2411b250f2227efc3f40af4ec-0'],0.0,0.0,4,Reader,What is the tax benefit of ULIP?,prediction
15%,f9732dd2411b250f2227efc3f40af4ec-0,"[{'start': 597, 'end': 600}]","efit depends on the type of ULIP invested, as equity funds could be taxed 15% under certain conditions. ULIPs do not have high charges associated with",answer,['15%'],"[{'start': 597, 'end': 600}]",['f9732dd2411b250f2227efc3f40af4ec-0'],1.0,1.0,1,Reader,How much is ULIP equity funds taxed?,prediction
,,"[{'start': 0, 'end': 0}]",,answer,['15%'],"[{'start': 597, 'end': 600}]",['f9732dd2411b250f2227efc3f40af4ec-0'],0.0,0.0,2,Reader,How much is ULIP equity funds taxed?,prediction
2-2.25%,f9732dd2411b250f2227efc3f40af4ec-0,"[{'start': 726, 'end': 733}]","ges associated with them. IRDA has capped the annual charge on ULIPs at 2-2.25% p.a. for the initial 10 years, with the charges on par with those of m",answer,['15%'],"[{'start': 597, 'end': 600}]",['f9732dd2411b250f2227efc3f40af4ec-0'],0.0,0.0,3,Reader,How much is ULIP equity funds taxed?,prediction
